var_type,var_name,order,factory,value,binary_value
x,x[1],1,,1.0000000000000002,1
x,x[2],2,,0.9999999999999997,1
x,x[3],3,,1.0,1
x,x[4],4,,0.0,0
x,x[5],5,,-0.0,0
x,x[6],6,,1.0,1
x,x[7],7,,1.0,1
x,x[8],8,,-0.0,0
x,x[9],9,,1.0,1
x,x[10],10,,0.0,0
x,x[11],11,,0.0,0
x,x[12],12,,1.0,1
x,x[13],13,,1.0,1
x,x[14],14,,1.0,1
x,x[15],15,,1.0,1
z,"z[1,1]",1,1,1.0000000000000002,1
z,"z[1,3]",1,3,-0.0,0
z,"z[2,3]",2,3,0.9999999999999997,1
z,"z[3,1]",3,1,1.0,1
z,"z[4,1]",4,1,-0.0,0
z,"z[4,2]",4,2,-0.0,0
z,"z[4,3]",4,3,-0.0,0
z,"z[5,3]",5,3,-0.0,0
z,"z[6,1]",6,1,1.0,1
z,"z[6,2]",6,2,-0.0,0
z,"z[7,2]",7,2,-0.0,0
z,"z[7,3]",7,3,1.0,1
z,"z[8,1]",8,1,-0.0,0
z,"z[9,1]",9,1,-0.0,0
z,"z[9,2]",9,2,1.0,1
z,"z[9,3]",9,3,0.0,0
z,"z[10,1]",10,1,-0.0,0
z,"z[10,2]",10,2,0.0,0
z,"z[11,3]",11,3,0.0,0
z,"z[12,1]",12,1,1.0,1
z,"z[12,2]",12,2,-0.0,0
z,"z[12,3]",12,3,-0.0,0
z,"z[13,1]",13,1,0.0,0
z,"z[13,2]",13,2,-0.0,0
z,"z[13,3]",13,3,1.0,1
z,"z[14,1]",14,1,6.938893903907228e-18,0
z,"z[14,2]",14,2,1.0,1
z,"z[14,3]",14,3,-0.0,0
z,"z[15,1]",15,1,-0.0,0
z,"z[15,2]",15,2,1.0,1
